Name,Formula,S°,absS°,Hf°,Sf°,Gf°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(H)(CO),O-(C)(CB),CD-(H)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(qua),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),rsc,radical 1,radical 2,radical 3,radical 4,Correction o,Correction m,Correction p
Ethanoic acid,C2H4O2,69.287,289.896808,432.8,187.768192,376.8169136,acid,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propanoic acid,C3H6O2,76.174,318.712016,455.7,295.263984,367.6670432,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butanoic acid,C4H8O2,84.997,355.627448,475.8,394.659552,358.1322546,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,2-Dimethylpropanoic acid",C5H10O2,82.845,346.62348,491.3,539.97452,330.3065969,acid,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Pentanoic acid,C5H10O2,90.386,378.175024,496.3,508.422976,344.7136897,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexanoic acid,C6H12O2,101.346,424.031664,513.4,598.877336,334.8447223,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heptanoic acid ,C7H14O2,107.178,448.432752,539.4,710.787248,327.478782,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocatanoic acid,C8H16O2,114.724,480.005216,553.9,815.525784,310.7509875,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonanoic acid,C9H18O2,125.12,523.50208,579.6,908.33992,308.7784529,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decanoic acid,C10H20O2,130.118,544.413712,594.9,1023.739288,289.6721313,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undecanoic acid,C11H22O2,136.77,572.24568,614.6,1132.21832,277.0291079,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phthalic acid,C8H6O4,102.296,428.006464,641.9,419.712536,516.7627074,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Dodecanoic acid,C12H24O2,146.189,611.654776,642,1229.120224,275.5378052,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tridecanoic acid,C13H26O2,151.558,634.118672,660.2,1342.967328,259.7942912,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isophthalic acid,C8H6O4,101.096,422.985664,667.4,424.733336,540.7657559,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
Terephthalic acid,C8H6O4,101.578,425.002352,668,422.716648,541.9670314,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
4-Methylphthalic acid,C9H8O4,109.046,456.248464,677.6,527.781536,520.241935,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,1
Tetradecanoic acid,C14H28O2,160.073,669.745432,693.8,1443.651568,263.375285,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentadecanoic acid,C15H30O2,166.59,697.01256,699,1552.69544,236.0638546,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalic acid,C2H2O4,74.147,310.231048,732,241.905952,659.8757404,acid,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexadecanoic acid,C16H32O2,176.57,738.76888,737,1647.25012,245.8723767,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
